hz,phase
0,0
250000,3.696
500000,10.99
750000,15.57
1000000,23.31
1250000,25.99
1500000,33.62
1750000,35.95
2000000,38.96
2250000,46.43
2500000,51.31
2750000,55.13
3000000,59.42
3250000,65.06
3500000,67.43
3750000,73.68
4000000,73.81
4250000,81.44
4500000,85.4
4750000,89.18
5000000,89.44
5250000,95.54
5500000,99.01
5750000,105.5
6000000,109.2
6250000,113.7
6500000,114.2
6750000,121.1
7000000,125.4
7250000,130.9
7500000,135
7750000,140
8000000,146.6
8250000,153.6
8500000,162.4
8750000,165.5
9000000,172.9
9250000,176.7
9500000,188.8
9750000,192
10000000,199.7
10250000,205.6
10500000,214.8
10750000,218.7
11000000,226.2
11250000,233.7
11500000,237.7
11750000,241
12000000,249.9
12250000,254.2
12500000,261.8
12750000,263.9
13000000,269.3
13250000,281.3
13500000,289
13750000,302
14000000,330
14250000,357.3
14500000,16.3
14750000,36.6
15000000,48.96
15250000,60.41
15500000,69.93
15750000,72.3
16000000,81.57
